contrast,estimate,SE,df,t.ratio,p.value
Female Cardio - Male Cardio,-79.19554182275238,13.190077679680577,964,-6.004175543617439,7.595210294031318e-8
Female Cardio - Female HIIT,11.19575650132987,13.855644183342093,964,0.8080285804964545,0.9926923561470323
Female Cardio - Male HIIT,-74.17662460936081,13.642240478488752,964,-5.437275843826636,1.9032146746367218e-6
Female Cardio - Female Strength,21.514118921108814,13.362800510396736,964,1.610000755782447,0.7443389700919216
Female Cardio - Male Strength,-90.73468179492433,13.047712060974682,964,-6.9540683738959155,1.8338075502555284e-10
Female Cardio - Female Yoga,14.778491038088461,13.905756810842508,964,1.0627606421655145,0.9641955730499339
Female Cardio - Male Yoga,-61.66806109272948,13.092090184234062,964,-4.710329689524462,7.702643257867514e-5
Male Cardio - Female HIIT,90.39129832408224,13.772111862406819,964,6.56335783699374,2.4001224341319016e-9
Male Cardio - Male HIIT,5.018917213391567,13.551384760167576,964,0.37036194471755984,0.9999550955201261
Male Cardio - Female Strength,100.70966074386119,13.275240108632445,964,7.586277906820914,2.5258684033246936e-12
Male Cardio - Male Strength,-11.539139972171949,12.963861198885828,964,-0.8901005491453174,0.9869511264632619
Male Cardio - Female Yoga,93.97403286084084,13.81744483154029,964,6.801115112566377,5.094046295894827e-10
Male Cardio - Male Yoga,17.527480730022894,13.010769673339116,964,1.3471517189286004,0.8804198608725247
Female HIIT - Male HIIT,-85.37238111069068,14.175229496200002,964,-6.022645427615597,6.805724317437978e-8
Female HIIT - Female Strength,10.318362419778945,13.91857034636708,964,0.7413378071888084,0.9956994372398322
Female HIIT - Male Strength,-101.9304382962542,13.629838174909851,964,-7.478477512953185,5.0814907837093415e-12
Female HIIT - Female Yoga,3.5827345367585917,14.430900512871403,964,0.24826825835040792,0.9999971140867165
Female HIIT - Male Yoga,-72.86381759405936,13.677511990385796,964,-5.327271337453539,3.4385743445941586e-6
Male HIIT - Female Strength,95.69074353046962,13.690629625022954,964,6.989506410689215,1.4435397321932442e-10
Male HIIT - Male Strength,-16.558057185563516,13.403761151833933,964,-1.2353291735057519,0.9212779338721735
Male HIIT - Female Yoga,88.95511564744928,14.206288270426176,964,6.261671870521652,1.6006887038066964e-8
Male HIIT - Male Yoga,12.508563516631327,13.454840080273874,964,0.9296701738558839,0.9831688677580352
Female Strength - Male Strength,-112.24880071603314,13.12711817058757,964,-8.550909594730104,3.766986722553156e-13
Female Strength - Female Yoga,-6.735627883020353,13.95532737964229,964,-0.48265638632355784,0.9997325757030624
Female Strength - Male Yoga,-83.18218001383829,13.177012938125944,964,-6.312673471933966,1.1678543798687713e-8
Male Strength - Female Yoga,105.51317283301279,13.673099795723294,964,7.716843613327203,1.201816424156732e-12
Male Strength - Male Yoga,29.066620702194843,12.863638453505752,964,2.259595588546199,0.3173129319914161
Female Yoga - Male Yoga,-76.44655213081795,13.722825116117198,964,-5.570759044435604,9.148544228843036e-7
